,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
200,Sports / Cricket,False,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,1753.0,,1753.0,1,0.0,0.0,-3.2,0.0,,0.0,0.0,-0.0,0.0,0.0,3.2
201,Sports / Driving/Racing,False,50.0,70.71,50.0,0.02,0.02,0.02,1.35,0.07,1.35,2.5,3.54,2.5,4.6,0.57,4.6,3.25,0.49,3.25,0.5,0.71,0.5,3.0,2.83,3.0,2111.5,1840.6,2111.5,2,42.16,0.03,1.3,7.840000000000003,18.59582542694498,-0.009999999999999998,0.050000000000000044,3.8461538461538494,-23.53,0.2,-0.7500000000000001
202,Sports / Driving/Racing,True,26.47,,26.47,0.22,,0.22,0.6,,0.6,4.3,,4.3,4.4,,4.4,3.8,,3.8,27.0,,27.0,102.0,,102.0,12307.0,,12307.0,1,42.16,0.03,1.3,-15.689999999999998,-37.21537001897533,0.19,-0.7000000000000001,-53.846153846153854,-23.53,0.2,-0.7500000000000001
203,Sports / Driving/Racing / Simulation,False,33.33,,33.33,0.06,,0.06,0.4,,0.4,5.0,,5.0,4.3,,4.3,3.9,,3.9,1.0,,1.0,3.0,,3.0,1650.0,,1650.0,1,33.33,0.06,0.4,0.0,0.0,0.0,0.0,0.0,-33.33,-0.06,-0.4
204,Sports / Fighting,False,6.25,12.5,0.0,0.01,0.02,0.0,-2.98,2.05,-4.0,0.75,1.5,0.0,0.55,1.1,0.0,3.52,0.95,4.0,0.75,1.5,0.0,3.0,6.0,0.0,10180.75,770.5,10566.0,4,6.25,0.0,-4.0,0.0,0.0,0.0,0.0,-0.0,-6.25,0.0,4.0
205,Sports / Fishing,False,0.0,,0.0,0.0,,0.0,-2.9,,-2.9,0.0,,0.0,0.0,,0.0,2.9,,2.9,0.0,,0.0,0.0,,0.0,505.0,,505.0,1,25.0,0.1,-1.5,-25.0,-100.0,-0.1,-1.4,93.33333333333333,50.0,0.2,2.8
206,Sports / Fishing,True,50.0,,50.0,0.2,,0.2,-0.1,,-0.1,3.5,,3.5,3.4,,3.4,3.5,,3.5,6.0,,6.0,12.0,,12.0,2958.0,,2958.0,1,25.0,0.1,-1.5,25.0,100.0,0.1,1.4,-93.33333333333333,50.0,0.2,2.8
207,Sports / Football,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,2.21,-2.3,0.0,0.0,0.0,1.6,2.3,0.0,3.4,0.89,3.5,0.0,0.0,0.0,0.6,0.89,0.0,7797.8,8442.51,3029.0,5,0.0,0.0,-2.3,0.0,,0.0,0.0,-0.0,0.0,0.0,2.3
208,Sports / Golf,False,100.0,,100.0,0.02,,0.02,1.5,,1.5,5.0,,5.0,5.0,,5.0,3.5,,3.5,1.0,,1.0,1.0,,1.0,5649.0,,5649.0,1,100.0,0.02,1.5,0.0,0.0,0.0,0.0,0.0,-100.0,-0.02,-1.5
209,Sports / Hockey,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.48,0.41,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.41,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1935.6,713.59,1879.0,5,0.0,0.0,-2.3,0.0,,0.0,0.0,-0.0,0.0,0.0,2.3
210,Sports / Simulation / Soccer,False,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,1070.0,,1070.0,1,0.0,0.0,-3.1,0.0,,0.0,0.0,-0.0,0.0,0.0,3.1
211,Sports / Snowboarding/Skiing,False,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,4.3,0.0,4.3,4.1,0.0,4.1,0.0,0.0,0.0,3.0,0.0,3.0,1030.0,0.0,1030.0,2,10.52,0.06,0.2,-10.52,-100.0,-0.06,0.0,0.0,21.05,0.11,0.0
212,Sports / Snowboarding/Skiing,True,21.05,0.0,21.05,0.11,0.0,0.11,0.2,0.0,0.2,3.8,0.0,3.8,3.5,0.0,3.5,3.3,0.0,3.3,4.0,0.0,4.0,19.0,0.0,19.0,3578.0,0.0,3578.0,2,10.52,0.06,0.2,10.530000000000001,100.09505703422055,0.05,0.0,0.0,21.05,0.11,0.0
213,Sports / Soccer,False,50.0,50.0,50.0,0.11,0.18,0.01,-0.87,2.08,-1.7,2.0,2.65,1.0,2.0,2.65,1.0,2.87,1.01,3.4,1.0,1.0,1.0,1.67,2.08,1.0,9783.67,9198.75,9706.0,3,50.0,0.01,-1.7,0.0,0.0,0.0,0.0,-0.0,-50.0,-0.01,1.7
214,Stealth,False,12.5,25.0,0.0,0.02,0.05,0.0,-2.38,2.45,-3.6,1.25,2.5,0.0,1.25,2.5,0.0,3.62,0.05,3.6,0.25,0.5,0.0,0.5,1.0,0.0,595.25,344.5,423.0,4,12.5,0.0,-3.6,0.0,0.0,0.0,0.0,-0.0,-12.5,0.0,3.6
215,Strategy,False,17.62,33.3,0.0,0.06,0.13,0.0,-0.94,1.93,-0.5,1.32,2.12,0.0,2.8,2.22,3.65,3.74,0.82,4.0,0.75,1.71,0.0,3.25,8.05,1.0,2656.98,7008.63,915.5,60,18.08,0.0,0.0,-0.4599999999999973,-2.5442477876106047,0.0,-0.5,,2.759999999999998,0.08,0.7
216,Strategy,True,20.38,10.54,22.21,0.24,0.48,0.08,0.3,0.47,0.2,3.1,1.68,3.5,3.88,0.42,3.8,3.58,0.35,3.6,5.17,11.08,2.0,24.58,47.59,11.0,5863.08,10189.17,2577.0,12,18.08,0.0,0.0,2.3000000000000007,12.721238938053103,0.08,0.2,,2.759999999999998,0.08,0.7
217,Strategy / Adventure,False,32.6,22.26,40.2,0.36,0.4,0.31,0.15,0.5,0.2,3.12,2.24,3.8,4.6,0.55,4.8,4.45,0.17,4.45,17.25,18.79,17.5,43.0,46.93,41.5,3497.0,2129.6,3272.0,4,32.6,0.31,0.2,0.0,0.0,0.0,0.0,0.0,-32.6,-0.31,-0.2
218,Strategy / Adventure / Simulation,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.07,-0.25,0.0,0.0,0.0,3.5,0.71,3.5,3.75,0.78,3.75,0.0,0.0,0.0,1.0,0.0,1.0,467.0,651.95,467.0,2,0.0,0.0,-0.25,0.0,,0.0,0.0,-0.0,0.0,0.0,0.25
219,Strategy / Card Game,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.47,0.61,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.61,3.6,0.0,0.0,0.0,0.0,0.0,0.0,395.67,452.96,158.0,3,6.25,0.0,-3.2,-6.25,-100.0,0.0,-0.3999999999999999,12.499999999999996,25.0,0.11,3.8000000000000003
220,Strategy / Card Game,True,25.0,,25.0,0.11,,0.11,0.2,,0.2,5.0,,5.0,4.7,,4.7,4.5,,4.5,3.0,,3.0,12.0,,12.0,2793.0,,2793.0,1,6.25,0.0,-3.2,18.75,300.0,0.11,3.4000000000000004,-106.25,25.0,0.11,3.8000000000000003
221,Strategy / Puzzle,False,50.0,70.71,50.0,0.12,0.16,0.12,-0.9,2.83,-0.9,0.5,0.71,0.5,2.75,2.47,2.75,3.65,0.35,3.65,0.5,0.71,0.5,22.5,30.41,22.5,2724.0,3234.31,2724.0,2,50.0,0.12,-0.9,0.0,0.0,0.0,0.0,-0.0,-50.0,-0.12,0.9
222,Strategy / Puzzle / Music/Rhythm,False,66.67,,66.67,0.4,,0.4,1.4,,1.4,4.5,,4.5,4.7,,4.7,3.3,,3.3,2.0,,2.0,3.0,,3.0,504.0,,504.0,1,66.67,0.4,1.4,0.0,0.0,0.0,0.0,0.0,-66.67,-0.4,-1.4
223,Strategy / Puzzle / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1104.0,2,0.0,0.0,-3.5,0.0,,0.0,0.0,-0.0,0.0,0.0,3.5
224,Strategy / RPG,False,10.91,21.56,0.0,0.03,0.05,0.0,-2.07,2.26,-3.3,1.36,2.34,0.0,1.85,2.29,0.0,3.92,0.55,3.8,0.36,0.67,0.0,1.18,1.72,0.0,1104.73,903.22,805.0,11,13.0,0.0,-2.6,-2.09,-16.076923076923073,0.0,-0.6999999999999997,26.92307692307691,7.84,0.02,4.1
225,Strategy / RPG,True,18.75,12.5,25.0,0.04,0.05,0.02,-0.13,1.99,0.8,2.75,2.63,3.0,2.85,1.98,3.6,2.98,0.39,3.15,0.75,0.5,1.0,3.0,2.0,4.0,2804.0,2280.78,2853.0,4,13.0,0.0,-2.6,5.75,44.230769230769226,0.02,3.4000000000000004,-130.76923076923077,7.84,0.02,4.1
226,Strategy / RPG / Action-Adventure,False,10.52,14.88,10.52,0.16,0.23,0.16,-1.7,2.12,-1.7,2.5,3.54,2.5,1.65,2.33,1.65,3.35,0.21,3.35,2.0,2.83,2.0,9.5,13.44,9.5,1087.0,216.37,1087.0,2,10.52,0.16,-1.7,0.0,0.0,0.0,0.0,-0.0,-10.52,-0.16,1.7
227,Strategy / RPG / Card Game,False,0.0,,0.0,0.0,,0.0,1.7,,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,782.0,,782.0,1,0.0,0.0,1.7,0.0,,0.0,0.0,0.0,0.0,0.0,-1.7
228,Strategy / RPG / Football,False,0.0,,0.0,0.0,,0.0,-2.5,,-2.5,0.0,,0.0,1.0,,1.0,3.5,,3.5,0.0,,0.0,1.0,,1.0,1640.0,,1640.0,1,0.0,0.0,-2.5,0.0,,0.0,0.0,-0.0,0.0,0.0,2.5
229,Strategy / RPG / Real-Time Strategy,False,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,284.0,,284.0,1,0.0,0.0,-3.0,0.0,,0.0,0.0,-0.0,0.0,0.0,3.0
230,Strategy / Real-Time Strategy,False,37.14,46.8,0.0,0.17,0.22,0.0,-2.07,2.27,-3.0,2.07,2.59,0.0,2.07,2.59,0.0,4.14,0.57,4.3,1.43,1.9,0.0,1.71,2.36,0.0,643.86,329.67,849.0,7,37.14,0.0,-3.0,0.0,0.0,0.0,0.0,-0.0,-37.14,0.0,3.0
231,Strategy / Shooter,False,20.0,0.0,20.0,0.1,0.0,0.1,0.6,0.0,0.6,5.0,0.0,5.0,5.0,0.0,5.0,4.4,0.0,4.4,1.0,0.0,1.0,5.0,0.0,5.0,1002.0,0.0,1002.0,2,20.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,-20.0,-0.1,-0.6
232,Strategy / Shooter / Action-Adventure,True,25.0,,25.0,0.01,,0.01,-0.5,,-0.5,5.0,,5.0,4.0,,4.0,4.5,,4.5,1.0,,1.0,4.0,,4.0,6791.0,,6791.0,1,25.0,0.01,-0.5,0.0,0.0,0.0,0.0,-0.0,25.0,0.01,-0.5
233,Strategy / Simulation,False,17.8,31.34,0.0,0.08,0.22,0.0,-0.41,1.46,0.15,1.43,2.13,0.0,3.68,1.32,4.2,4.09,0.26,4.05,0.79,1.42,0.0,4.0,2.75,3.5,4178.57,3940.62,3154.0,14,16.79,0.0,0.3,1.0100000000000016,6.01548540798095,0.0,-0.15,-50.0,-4.550000000000001,0.04,0.5499999999999999
234,Strategy / Simulation,True,13.25,16.28,9.84,0.06,0.07,0.04,0.57,0.33,0.7,2.35,2.72,2.2,4.88,0.25,5.0,4.3,0.12,4.3,6.25,11.84,0.5,31.75,60.17,2.0,7802.0,14103.36,768.0,4,16.79,0.0,0.3,-3.539999999999999,-21.08397855866587,0.04,0.39999999999999997,133.33333333333331,-4.550000000000001,0.04,0.5499999999999999
235,Strategy / Sports / Simulation / Baseball,False,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,103.0,,103.0,1,0.0,0.0,-3.5,0.0,,0.0,0.0,-0.0,0.0,0.0,3.5
236,Survival,False,36.57,21.16,50.0,0.15,0.18,0.12,-0.43,1.59,0.0,4.14,1.86,5.0,3.51,1.66,4.0,3.94,0.25,4.0,2.43,3.41,1.0,6.14,7.84,4.0,2197.86,1814.68,1678.0,7,31.86,0.08,0.1,4.710000000000001,14.783427495291903,0.039999999999999994,-0.1,-100.0,-21.189999999999998,-0.09,0.1
237,Survival,True,15.38,0.0,15.38,0.03,0.0,0.03,0.1,0.0,0.1,4.5,0.0,4.5,3.8,0.0,3.8,3.7,0.0,3.7,2.0,0.0,2.0,13.0,0.0,13.0,6208.0,0.0,6208.0,2,31.86,0.08,0.1,-16.479999999999997,-51.726302573760194,-0.05,0.0,0.0,-21.189999999999998,-0.09,0.1
238,Tower Defense,False,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,5.0,0.0,5.0,3.6,0.0,3.6,0.0,0.0,0.0,2.0,0.0,2.0,1302.0,0.0,1302.0,2,0.0,0.0,1.4,0.0,,0.0,0.0,0.0,0.0,0.0,-1.4
239,Trivia,True,12.5,,12.5,0.63,,0.63,-0.5,,-0.5,1.3,,1.3,1.9,,1.9,2.4,,2.4,3.0,,3.0,24.0,,24.0,476.0,,476.0,1,12.5,0.63,-0.5,0.0,0.0,0.0,0.0,-0.0,12.5,0.63,-0.5
240,Trivia/Board Game / Minigame Collection,False,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.71,1.7,0.0,0.0,0.0,3.33,2.89,5.0,3.2,0.17,3.3,0.0,0.0,0.0,0.67,0.58,1.0,444.33,205.99,428.0,3,0.0,0.0,1.7,0.0,,0.0,0.0,0.0,0.0,0.0,-1.7
241,Vehicular Combat / Shooter / Real-Time Strategy,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.52,0.6,0.0,0.0,0.0,5.0,0.0,5.0,4.1,0.52,4.4,0.0,0.0,0.0,2.0,0.0,2.0,288.33,11.55,295.0,3,0.0,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,-0.6
