,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
83,Brawler,False,44.44,50.92,33.33,0.09,0.12,0.04,-1.13,2.92,0.5,2.8,2.48,3.7,3.1,2.69,4.6,4.23,0.25,4.2,2.0,1.73,3.0,4.0,4.58,3.0,3217.67,4169.74,1370.0,3,31.3,0.04,0.35,13.139999999999997,41.98083067092651,0.0,0.15000000000000002,42.85714285714287,-26.279999999999998,-0.010000000000000002,-0.3
84,Brawler,True,18.16,11.0,22.22,0.07,0.08,0.03,0.27,0.21,0.2,4.37,0.55,4.1,4.33,0.4,4.4,4.07,0.47,3.9,12.67,18.48,2.0,57.33,62.56,35.0,12180.0,7961.59,9368.0,3,31.3,0.04,0.35,-13.14,-41.980830670926515,-0.010000000000000002,-0.14999999999999997,-42.85714285714285,-26.279999999999998,-0.010000000000000002,-0.3
85,Brawler / Action-Adventure,False,4.1,5.62,0.0,4.1,5.62,0.0,-0.16,1.68,0.0,1.96,2.68,0.0,3.96,2.21,4.9,4.12,0.8,3.9,3.2,4.38,0.0,31.6,42.36,1.0,547.2,753.33,354.0,5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,,-4.1,0.0,0.0
86,Brawler / Platformer / Action-Adventure,False,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.24,1.05,0.0,0.0,0.0,5.0,0.0,5.0,4.05,0.24,3.95,0.0,0.0,0.0,2.75,1.5,3.0,6313.25,6284.09,6468.5,4,0.0,0.0,1.05,0.0,,0.0,0.0,0.0,0.0,0.0,-1.05
87,Card Game,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,2.88,-0.2,0.0,0.0,0.0,2.43,2.5,2.3,3.13,0.65,3.1,0.0,0.0,0.0,1.33,1.53,1.0,747.67,927.78,329.0,3,0.0,0.0,-0.2,0.0,,0.0,0.0,-0.0,0.0,0.0,0.2
88,Card Game / Minigame Collection,True,22.56,,22.56,0.14,,0.14,0.2,,0.2,4.8,,4.8,4.9,,4.9,4.7,,4.7,2955.0,,2955.0,13096.0,,13096.0,2144670.0,,2144670.0,1,22.56,0.14,0.2,0.0,0.0,0.0,0.0,0.0,22.56,0.14,0.2
89,City‑building,False,0.0,,0.0,0.0,,0.0,-1.0,,-1.0,0.0,,0.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,0.0,,0.0,2.0,,2.0,1,0.0,0.0,-1.0,0.0,,0.0,0.0,-0.0,0.0,0.0,1.0
90,Compilation,False,33.33,51.64,0.0,0.03,0.04,0.0,-3.18,1.09,-3.25,0.67,1.03,0.0,1.17,1.33,1.0,4.35,0.35,4.55,0.33,0.52,0.0,0.5,0.55,0.5,606.67,496.46,351.0,6,30.71,0.0,-2.6,2.6199999999999974,8.531422989254306,0.0,-0.6499999999999999,24.999999999999993,-7.879999999999999,0.35,3.45
91,Compilation,True,25.45,22.12,36.36,0.39,0.42,0.35,-0.13,0.67,0.2,2.33,2.52,2.0,3.8,0.79,3.5,3.93,0.81,4.4,3.33,4.16,2.0,9.67,10.79,5.0,3100.33,4041.06,967.0,3,30.71,0.0,-2.6,-5.260000000000002,-17.12797134483882,0.35,2.8000000000000003,-107.69230769230771,-7.879999999999999,0.35,3.45
92,Compilation / First-Person Shooter,False,43.34,33.0,43.34,0.14,0.15,0.14,-0.2,0.28,-0.2,3.95,1.34,3.95,4.05,0.49,4.05,4.25,0.21,4.25,8.5,9.19,8.5,39.0,50.91,39.0,27256.0,37387.56,27256.0,2,43.34,0.14,-0.2,0.0,0.0,0.0,0.0,-0.0,-43.34,-0.14,0.2
93,Compilation / Platformer,False,100.0,,100.0,0.26,,0.26,0.9,,0.9,5.0,,5.0,5.0,,5.0,4.1,,4.1,1.0,,1.0,1.0,,1.0,383.0,,383.0,1,100.0,0.26,0.9,0.0,0.0,0.0,0.0,0.0,-100.0,-0.26,-0.9
94,Defense,True,0.0,,0.0,0.0,,0.0,0.4,,0.4,0.0,,0.0,4.1,,4.1,3.7,,3.7,0.0,,0.0,12.0,,12.0,215.0,,215.0,1,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.4
