,publisher,has_gamepass_remediation,Unnamed: 2,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count,momentum_mean_baseline,discovery_capture_median_baseline,quality_retention_median_baseline,momentum_mean_diff_baseline,momentum_mean_diff_baseline_pct,discovery_capture_median_diff_baseline,discovery_capture_median_diff_baseline_pct,quality_retention_median_diff_baseline,quality_retention_median_diff_baseline_pct,momentum_lift,discovery_lift,quality_lift
46,Big Ant Studios PTY,False,0.0,,0.0,0.0,,0.0,-4.0,,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,1609.0,,1609.0,0.0,1.0,,0.0,0.0,-4.0,,,-4.0,,4.0,-100.0,0.0,4.0,0.0
47,Big Cheese Studio,True,30.0,,30.0,0.13,,0.13,-0.3,,-0.3,1.3,,1.3,2.5,,2.5,2.8,,2.8,3.0,,3.0,10.0,,10.0,2365.0,,2365.0,1.0,1.0,,30.0,0.13,-0.3,,,-0.43,-330.7692307692308,1.6,-533.3333333333334,0.0,-0.3,1.3
48,Big Sugar Games,False,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,1268.0,,1268.0,0.0,1.0,,0.0,0.0,-3.0,,,-3.0,,3.0,-100.0,0.0,3.0,0.0
49,Bigben,False,50.0,,50.0,0.07,,0.07,2.6,,2.6,5.0,,5.0,5.0,,5.0,2.4,,2.4,1.0,,1.0,2.0,,2.0,1416.0,,1416.0,0.0,1.0,,50.0,0.07,2.6,,,2.5300000000000002,3614.2857142857147,2.4,92.3076923076923,0.0,-2.6,-5.0
50,Bigben Interactive,False,15.0,33.747,0.0,0.014,0.031,0.0,-1.1,2.179,-2.0,0.6,1.578,0.0,2.23,1.769,2.0,3.33,0.704,3.55,0.2,0.422,0.0,1.1,0.876,1.0,1556.5,737.557,1767.0,0.0,10.0,,15.0,0.0,-2.0,18.747,124.98,-1.1,,2.6,-130.0,-33.747,1.1,-0.6
51,Billy Goat Entertainment Ltd,False,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,485.0,,485.0,0.0,1.0,,0.0,0.0,-3.3,,,-3.3,,3.3,-100.0,0.0,3.3,0.0
52,Bitmap Bureau Ltd.,False,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,695.0,,695.0,0.0,1.0,,0.0,0.0,-3.5,,,-3.5,,3.5,-100.0,0.0,3.5,0.0
53,Black Forest Games GmbH,False,66.67,0.0,66.67,0.11,0.0,0.11,1.2,0.0,1.2,5.0,0.0,5.0,5.0,0.0,5.0,3.8,0.0,3.8,2.0,0.0,2.0,3.0,0.0,3.0,1903.0,0.0,1903.0,0.0,2.0,,66.67,0.11,1.2,-66.67,-100.0,1.0899999999999999,990.9090909090909,3.8,316.66666666666663,0.0,-1.2,-5.0
54,BlackMill Games ,False,30.77,,30.77,0.12,,0.12,0.8,,0.8,4.8,,4.8,4.4,,4.4,3.6,,3.6,4.0,,4.0,13.0,,13.0,3345.0,,3345.0,0.0,1.0,,30.77,0.12,0.8,,,0.68,566.6666666666667,4.0,500.0,0.0,-0.8,-4.8
55,Blackbird Interactive,False,20.0,,20.0,0.05,,0.05,1.2,,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,5.0,,5.0,1987.0,,1987.0,0.0,1.0,,20.0,0.05,1.2,,,1.15,2299.9999999999995,3.8,316.66666666666663,0.0,-1.2,-5.0
