Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Racing,False,24.73,30.57,18.18,0.1,0.2,0.01,-0.61,2.12,0.4,2.37,2.25,3.0,3.17,2.12,4.2,3.78,0.61,3.95,5.31,21.41,1.0,20.81,85.89,2.5,9077.42,21613.7,1116.0,26
Racing,True,34.09,27.21,35.48,0.08,0.09,0.07,-0.39,0.62,-0.4,2.61,1.66,3.5,3.09,1.05,3.2,3.49,0.53,3.6,3.94,4.22,3.0,13.94,18.18,8.0,5932.29,4617.5,4212.0,17
Real-Time Strategy,False,12.1,20.65,0.0,0.05,0.08,0.0,-0.67,1.71,0.2,1.57,2.43,0.0,3.03,2.38,4.1,3.7,0.73,3.9,1.5,2.81,0.0,7.0,12.0,2.5,1398.17,1782.94,700.0,6
Real-Time Strategy / Action-Adventure,True,43.9,,43.9,0.66,,0.66,0.1,,0.1,4.8,,4.8,4.8,,4.8,4.7,,4.7,18.0,,18.0,41.0,,41.0,2731.0,,2731.0,1
Sandbox,False,29.84,28.51,29.84,0.12,0.06,0.12,0.1,0.85,0.1,4.65,0.49,4.65,3.85,0.49,3.85,3.75,0.35,3.75,2.0,1.41,2.0,16.5,20.51,16.5,2254.0,2347.59,2254.0,2
Sandbox,True,18.56,7.0,18.56,0.03,0.02,0.03,0.5,0.23,0.5,5.0,0.0,5.0,4.75,0.06,4.75,4.25,0.17,4.25,9.0,8.08,9.0,40.5,28.29,40.5,27563.5,4734.85,27563.5,4
Shoot 'Em Up,False,75.0,35.36,75.0,0.15,0.04,0.15,-0.35,0.35,-0.35,3.5,0.71,3.5,3.75,1.06,3.75,4.1,0.71,4.1,1.0,0.0,1.0,1.5,0.71,1.5,690.0,189.5,690.0,2
Shoot 'Em Up,True,0.0,,0.0,0.0,,0.0,0.2,,0.2,0.0,,0.0,5.0,,5.0,4.8,,4.8,0.0,,0.0,1.0,,1.0,58.0,,58.0,1
Shooter,False,25.07,23.79,22.89,0.43,2.33,0.08,-0.2,1.34,0.0,2.7,2.07,3.0,3.86,1.42,4.3,4.06,0.51,4.1,4.19,11.64,2.0,15.64,47.36,6.0,4770.08,10255.15,1359.0,73
Shooter,True,23.43,8.98,22.91,0.08,0.1,0.04,-0.38,1.02,0.0,3.77,1.26,4.1,3.6,1.2,3.8,3.98,0.5,4.2,15.52,12.89,15.0,63.33,56.11,47.0,42585.15,42541.08,13038.0,27
Shooter / Action-Adventure,False,20.1,28.04,0.0,0.25,0.34,0.0,-0.62,2.05,0.1,1.74,2.38,0.0,3.72,2.11,4.4,4.34,0.34,4.3,6.8,10.23,0.0,15.8,22.66,5.0,1783.8,1033.32,1327.0,5
