publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Whippoorwill Limited,False,0.0,0.0,0.3,0.0,,0.0,5.0,,5.0,4.7,,4.7,0.0,,0.0,7.0,,7.0,4153.0,,4153.0,0.0,1.0
Whitethorn Games,False,35.185,0.113,0.167,3.333,2.582,5.0,3.9,2.0,4.95,3.733,0.565,3.6,1.0,1.095,1.0,3.167,3.545,1.5,1444.667,1200.288,935.0,0.0,6.0
Whitethorn Games,True,13.33,0.3,-0.3,2.8,,2.8,2.3,,2.3,2.6,,2.6,4.0,,4.0,30.0,,30.0,1335.0,,1335.0,1.0,1.0
Wired Productions,False,16.945,0.02,-1.05,2.45,2.686,2.35,2.133,2.359,1.9,3.183,0.985,3.1,0.833,1.169,0.5,2.5,2.811,2.0,2716.167,1490.576,2412.5,0.0,6.0
Wired Productions Ltd,False,0.0,0.0,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,739.0,,739.0,0.0,1.0
Witch Beam,False,0.0,0.0,-0.7,0.0,,0.0,3.0,,3.0,3.7,,3.7,0.0,,0.0,2.0,,2.0,1435.0,,1435.0,0.0,1.0
Worm Club,False,0.0,0.0,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,2475.0,,2475.0,0.0,1.0
Xbox Game Studios,False,29.476,0.115,0.1,3.675,0.589,3.7,4.112,0.483,4.2,4.012,0.398,4.1,19.812,36.568,3.0,80.375,146.528,11.0,31125.625,38104.63,18256.0,0.0,16.0
Xbox Game Studios,True,27.415,0.163,0.213,3.884,1.607,4.75,4.282,0.789,4.6,4.068,0.512,4.2,84.211,478.386,3.0,372.421,2120.561,14.5,68329.711,346474.892,4093.0,38.0,38.0
Xbox Game Studios ,False,0.0,0.0,0.0,0.0,,0.0,3.3,,3.3,3.3,,3.3,0.0,,0.0,9.0,,9.0,1443.0,,1443.0,0.0,1.0
Xbox Game Studios ,True,26.65,0.2,-0.05,4.1,0.283,4.1,4.15,0.212,4.15,4.2,0.283,4.2,18.5,0.707,18.5,69.5,4.95,69.5,10084.0,4439.216,10084.0,2.0,2.0
"Xbox Games Studios, Rare Ltd",True,22.22,0.03,0.2,4.0,,4.0,3.9,,3.9,3.7,,3.7,2.0,,2.0,9.0,,9.0,6006.0,,6006.0,1.0,1.0
Xbox LIVE Arcade,False,0.0,0.0,-3.6,0.0,,0.0,0.0,,0.0,3.6,,3.6,0.0,,0.0,0.0,,0.0,283.0,,283.0,0.0,1.0
YCJY Games,False,0.0,0.0,1.6,0.0,,0.0,5.0,,5.0,3.4,,3.4,0.0,,0.0,1.0,,1.0,881.0,,881.0,0.0,1.0
Yacht Club Games,False,0.0,0.0,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,1808.0,,1808.0,0.0,1.0
Young Horses,False,26.67,0.12,0.4,5.0,,5.0,4.8,,4.8,4.4,,4.4,4.0,,4.0,15.0,,15.0,3324.0,,3324.0,0.0,1.0
Ysbryd Games,False,0.0,0.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.212,2.9,0.0,0.0,0.0,0.0,0.0,0.0,576.0,419.408,495.0,0.0,3.0
Zachtronics,False,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.589,3.4,0.0,0.0,0.0,0.0,0.0,0.0,236.5,87.733,267.0,0.0,4.0
Zen Studios,False,0.0,0.0,-3.567,0.0,0.0,0.0,0.0,0.0,0.0,3.567,0.163,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2892.833,972.856,3290.0,0.0,6.0
astragon Entertainment,True,26.67,0.29,0.1,2.5,,2.5,3.3,,3.3,3.2,,3.2,4.0,,4.0,15.0,,15.0,1395.0,,1395.0,1.0,1.0
astragon Entertainment GmbH,True,0.0,0.0,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,50.0,,50.0,1.0,1.0
