publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Thorium Entertainment,0.0,,0.0,0.0,,0.0,1.0,,1.0,0.0,,0.0,5.0,,5.0,4.0,,4.0,0.0,,0.0,1.0,,1.0,1576.0,,1576.0,0.0,1.0
Thunder Lotus,29.17,,29.17,0.11,,0.11,0.0,,0.0,5.0,,5.0,4.3,,4.3,4.3,,4.3,7.0,,7.0,24.0,,24.0,6581.0,,6581.0,1.0,1.0
Thunderful,25.0,,25.0,0.05,,0.05,0.2,,0.2,4.6,,4.6,4.2,,4.2,4.0,,4.0,5.0,,5.0,20.0,,20.0,9240.0,,9240.0,1.0,1.0
Thunderful Publishing,11.63,16.45,11.63,0.06,0.08,0.06,-0.15,0.64,-0.15,2.45,3.46,2.45,4.3,0.85,4.3,4.45,0.21,4.45,5.0,7.07,5.0,25.0,25.46,25.0,5265.5,4594.07,5265.5,1.0,2.0
"Top Hat Studios, Inc.",44.19,,44.19,1.51,,1.51,0.1,,0.1,4.7,,4.7,4.6,,4.6,4.5,,4.5,19.0,,19.0,43.0,,43.0,1262.0,,1262.0,1.0,1.0
Toplitz Productions,50.5,22.86,50.5,0.4,0.05,0.4,0.65,0.92,0.65,3.85,0.21,3.85,4.05,0.35,4.05,3.4,0.57,3.4,18.0,22.63,18.0,51.0,67.88,51.0,4982.0,6388.0,4982.0,1.0,2.0
Total Mayhem Games,66.67,,66.67,0.14,,0.14,-1.9,,-1.9,1.5,,1.5,1.3,,1.3,3.2,,3.2,2.0,,2.0,3.0,,3.0,1399.0,,1399.0,0.0,1.0
Trapped Nerve Games,100.0,,100.0,0.08,,0.08,0.8,,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,1.0,,1.0,1232.0,,1232.0,0.0,1.0
Triangle Studios,0.0,,0.0,0.0,,0.0,-3.9,,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,233.0,,233.0,0.0,1.0
Tripwire Interactive LLC,35.48,,35.48,0.09,,0.09,0.2,,0.2,4.9,,4.9,4.3,,4.3,4.1,,4.1,11.0,,11.0,31.0,,31.0,12497.0,,12497.0,0.0,1.0
Twin Sails Interactive,0.0,0.0,0.0,0.0,0.0,0.0,-3.65,0.21,-3.65,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.21,3.65,0.0,0.0,0.0,0.0,0.0,0.0,2406.5,842.16,2406.5,0.0,2.0
UBISOFT,19.83,14.91,22.03,0.35,0.42,0.16,-0.88,1.44,-0.3,2.09,1.45,2.8,2.33,1.38,3.0,3.21,0.52,3.1,6.56,7.67,3.0,30.33,34.97,13.0,3547.22,4453.06,407.0,7.0,9.0
UbiSoft,14.29,,14.29,0.07,,0.07,0.3,,0.3,4.0,,4.0,4.3,,4.3,4.0,,4.0,1.0,,1.0,7.0,,7.0,1412.0,,1412.0,0.0,1.0
Ubisoft,17.66,13.98,20.45,0.17,0.56,0.03,-0.29,1.14,-0.1,2.62,1.9,3.4,3.67,1.16,4.0,3.96,0.53,4.2,7.06,11.91,3.0,29.98,43.36,13.0,16336.02,27212.13,3578.0,70.0,93.0
Ubisoft Entertainment,36.2,37.7,25.84,0.03,0.05,0.02,-0.74,0.55,-0.4,1.93,1.87,2.6,2.32,0.85,2.1,3.07,0.57,2.8,3.89,7.32,3.0,13.44,28.33,4.0,8315.0,5995.97,13293.0,9.0,9.0
Unbound Creations,0.0,,0.0,0.0,,0.0,-4.4,,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,1594.0,,1594.0,0.0,1.0
Unknown Worlds Entertainment,25.0,,25.0,0.08,,0.08,0.3,,0.3,4.7,,4.7,4.8,,4.8,4.5,,4.5,26.0,,26.0,104.0,,104.0,34183.0,,34183.0,0.0,1.0
"Unknown Worlds Entertainment, Inc.",21.43,,21.43,0.05,,0.05,0.2,,0.2,4.7,,4.7,4.4,,4.4,4.2,,4.2,3.0,,3.0,14.0,,14.0,6122.0,,6122.0,0.0,1.0
Valve,30.77,,30.77,0.15,,0.15,0.1,,0.1,5.0,,5.0,4.8,,4.8,4.7,,4.7,4.0,,4.0,13.0,,13.0,2610.0,,2610.0,0.0,1.0
Vector Unit,0.0,,0.0,0.0,,0.0,-0.1,,-0.1,0.0,,0.0,4.1,,4.1,4.2,,4.2,0.0,,0.0,7.0,,7.0,814.0,,814.0,0.0,1.0
Versus Evil,12.5,35.36,0.0,0.02,0.05,0.0,0.47,1.95,1.3,0.38,1.06,0.0,4.0,1.77,5.0,3.52,0.51,3.35,0.12,0.35,0.0,0.88,0.35,1.0,1823.38,1301.46,2284.5,1.0,8.0
"Versus Evil, LLC.",0.0,,0.0,0.0,,0.0,-2.7,,-2.7,0.0,,0.0,0.0,,0.0,2.7,,2.7,0.0,,0.0,0.0,,0.0,919.0,,919.0,0.0,1.0
Visai Games Inc,50.0,,50.0,0.03,,0.03,0.2,,0.2,5.0,,5.0,4.5,,4.5,4.3,,4.3,1.0,,1.0,2.0,,2.0,3511.0,,3511.0,0.0,1.0
Vlambeer,50.0,,50.0,0.15,,0.15,1.3,,1.3,5.0,,5.0,5.0,,5.0,3.7,,3.7,1.0,,1.0,2.0,,2.0,661.0,,661.0,0.0,1.0
"WB Games, Inc.",13.33,0.0,13.33,0.1,0.0,0.1,-0.8,0.0,-0.8,2.0,0.0,2.0,3.1,0.0,3.1,3.9,0.0,3.9,2.0,0.0,2.0,15.0,0.0,15.0,1993.0,0.0,1993.0,0.0,4.0
